Timestamp                     Simulation t   % complete   Est. completion
2021-12-04 04:28:11.206570       0.00*year            0   TBD
2021-12-04 04:28:11.564148      16.00*year            5   2021-12-04 04:28:17.913305
2021-12-04 04:28:11.884353      30.00*year           10   2021-12-04 04:28:17.985489
2021-12-04 04:28:12.255955      46.00*year           15   2021-12-04 04:28:18.051053
2021-12-04 04:28:12.556684      60.00*year           20   2021-12-04 04:28:17.957624
2021-12-04 04:28:12.919013      76.00*year           25   2021-12-04 04:28:17.966570
2021-12-04 04:28:13.243313      90.00*year           30   2021-12-04 04:28:17.995996
2021-12-04 04:28:13.611571     106.00*year           35   2021-12-04 04:28:18.013398
2021-12-04 04:28:13.967192     120.00*year           40   2021-12-04 04:28:18.108306
2021-12-04 04:28:15.181370     136.00*year           45   2021-12-04 04:28:19.974657
2021-12-04 04:28:21.054560     150.00*year           50   2021-12-04 04:28:30.902671
2021-12-04 04:28:21.421953     166.00*year           55   2021-12-04 04:28:29.668203
2021-12-04 04:28:21.717822     180.00*year           60   2021-12-04 04:28:28.725404
2021-12-04 04:28:22.083550     196.00*year           65   2021-12-04 04:28:27.855073
2021-12-04 04:28:22.418357     210.00*year           70   2021-12-04 04:28:27.223460
2021-12-04 04:28:22.789410     226.00*year           75   2021-12-04 04:28:26.582061
2021-12-04 04:28:23.088844     240.00*year           80   2021-12-04 04:28:26.059443
2021-12-04 04:28:23.541531     256.00*year           85   2021-12-04 04:28:25.661623
2021-12-04 04:28:24.853437     270.00*year           90   2021-12-04 04:28:26.369769
2021-12-04 04:28:30.520517     286.00*year           95   2021-12-04 04:28:31.465961
